score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yardsToGoal,down,distance,play_type
0,TRUE,2,2700,900,20,3,6,Pass
25,FALSE,2,2296,496,98,2,9,Pass
14,FALSE,2,1941,141,71,1,10,Pass
3,TRUE,2,2393,593,89,1,10,Pass
-17,FALSE,4,618,618,52,1,10,Pass
-7,TRUE,1,2858,1058,57,2,10,Pass
0,TRUE,1,3517,1717,82,3,6,Pass
14,FALSE,2,1941,141,71,1,10,Pass
3,TRUE,2,2393,593,89,1,10,Pass
-17,FALSE,4,618,618,52,1,10,Pass
-7,TRUE,1,3163,1363,44,2,10,Pass
13,FALSE,2,2519,719,11,1,10,Pass
-10,FALSE,3,1302,1302,85,3,20,Pass
38,FALSE,3,1422,1422,35,2,19,Pass
7,TRUE,1,3301,1501,38,2,1,Pass
-21,FALSE,3,1425,1425,48,3,7,Pass
0,TRUE,1,3600,1800,14,1,10,Pass
3,TRUE,2,2130,330,62,2,6,Pass
24,FALSE,3,967,967,52,3,12,Pass
-3,TRUE,1,3216,1416,58,1,10,Pass
-28,FALSE,4,191,191,54,1,10,Pass
-14,FALSE,2,2154,354,47,1,10,Pass
-14,FALSE,2,2154,354,47,1,10,Pass
0,TRUE,1,3462,1662,74,1,10,Pass
-10,FALSE,1,3110,1310,71,1,10,Pass
-3,TRUE,4,2,2,79,1,10,Pass
-5,TRUE,4,275,275,57,3,3,Pass
24,FALSE,2,1938,138,32,2,10,Pass
0,TRUE,1,3267,1467,82,2,9,Pass
7,TRUE,2,2605,805,75,1,10,Pass
0,TRUE,1,3146,1346,76,2,10,Pass
10,FALSE,4,449,449,36,3,9,Pass
7,TRUE,3,1616,1616,14,2,10,Pass
-20,FALSE,3,1209,1209,32,1,10,Pass
3,TRUE,1,2954,1154,97,2,10,Pass
-17,FALSE,2,2480,680,24,1,10,Pass
-37,FALSE,4,263,263,77,3,1,Pass
-10,FALSE,2,1873,73,68,2,10,Pass
-14,FALSE,2,1957,157,88,2,8,Pass
-7,TRUE,1,3311,1511,23,3,9,Pass
-7,TRUE,2,2182,382,88,1,10,Pass
-10,FALSE,4,172,172,74,2,9,Pass
-31,FALSE,2,1841,41,75,1,10,Pass
7,TRUE,2,1856,56,67,1,10,Pass
11,FALSE,3,1364,1364,91,3,23,Pass
-16,FALSE,4,346,346,69,3,2,Pass
-14,FALSE,4,134,134,68,3,6,Pass
-14,FALSE,3,1784,1784,80,1,10,Pass
-14,FALSE,3,1239,1239,62,3,10,Pass
-17,FALSE,2,2682,882,82,1,10,Pass
-24,FALSE,2,2111,311,54,2,7,Pass
-14,FALSE,3,1239,1239,62,3,10,Pass
0,TRUE,1,2996,1196,69,2,2,Pass
0,TRUE,2,1819,19,77,1,10,Pass
-10,FALSE,3,1318,1318,50,3,19,Pass
-10,FALSE,3,1023,1023,88,3,3,Pass
-14,FALSE,3,1023,1023,70,3,4,Pass
-17,FALSE,2,2283,483,72,2,12,Pass
-27,FALSE,4,451,451,86,3,7,Pass
-21,FALSE,4,671,671,37,4,4,Pass
-31,FALSE,4,63,63,71,1,10,Pass
-23,FALSE,4,154,154,11,1,10,Pass
-21,FALSE,4,671,671,37,4,4,Pass
-31,FALSE,4,63,63,71,1,10,Pass
-23,FALSE,4,154,154,11,1,10,Pass
7,TRUE,1,2783,983,74,1,10,Pass
-20,FALSE,2,1819,19,70,3,4,Pass
-55,FALSE,3,1282,1282,90,3,9,Pass
-12,FALSE,2,1869,69,84,1,10,Pass
-20,FALSE,4,219,219,54,2,4,Pass
-5,TRUE,3,1254,1254,70,3,5,Pass
-15,FALSE,4,178,178,53,2,5,Pass
-7,TRUE,3,1563,1563,64,2,10,Pass
-38,FALSE,4,727,727,87,3,8,Pass
-7,TRUE,1,2969,1169,81,3,15,Pass
